From Date,Unnamed: 0,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Eth-Benzene,MP-Xylene,RH,WS,WD,SR,BP,AT,TOT-RF,AQI
2022-05-25,48911.5,24.47430107526882,101.02473118279569,98.24537634408601,4.420731707317073,102.03118279569892,11.296129032258063,13.07336956521739,0.0658695652173913,40.67815217391304,0.7716129032258066,,2.626236559139785,2.583548387096774,74.39881720430108,1.8098924731182795,255.32193548387096,386.51019607843136,,28.735483870967744,0.0,94.30173611111111
2022-05-26,49007.5,21.998437499999998,112.57744680851064,94.85063157894736,4.500322580645162,99.19578947368421,12.456526315789475,13.358817204301074,0.025698924731182796,40.597741935483874,1.1106315789473684,,1.444736842105263,1.5070526315789472,73.18378947368421,1.9466315789473685,254.25989473684209,392.9148,,28.55463157894737,0.0,104.94003472222222
2022-05-27,49103.5,18.799791666666668,108.77279569892474,106.72244680851064,3.4539759036144577,109.58308510638297,12.033510638297873,13.353870967741937,0.04247311827956989,40.43703296703297,0.9743750000000001,,1.7972916666666665,1.8678125,72.4331182795699,1.7233333333333334,244.24236559139786,371.21734693877556,,28.690645161290323,0.0,100.49572916666666
2022-05-28,49199.5,16.515,95.9018085106383,108.90663157894735,3.7243529411764706,112.13726315789475,11.947263157894737,13.350851063829788,0.07670212765957447,40.377311827956994,0.913125,,9.5575,6.857708333333334,72.45968421052632,1.6106315789473684,239.65652631578945,369.3213725490196,,28.70663157894737,0.0,91.63145833333334
2022-05-29,49295.5,18.173296703296703,92.71583333333334,101.47888888888889,3.94551724137931,105.25022222222222,12.752111111111113,13.403033707865168,0.07181818181818182,40.342727272727274,0.7164444444444444,,13.386222222222223,8.42088888888889,72.663,1.8726666666666665,245.24244444444443,336.1849019607843,,28.77777777777778,0.0,76.11736111111111
2022-05-30,49391.5,23.143541666666668,,97.8978125,4.001428571428572,100.41416666666667,10.910208333333335,14.160851063829787,0.039680851063829785,40.784731182795696,0.9021875,,1.7669791666666665,1.4542708333333334,72.79473684210527,1.8643157894736844,253.03484210526318,345.6511764705882,,28.551789473684213,0.0,44.719722222222224
2022-05-31,49487.5,27.12291666666667,144.50842105263158,67.44821052631579,8.514301075268818,75.76463157894737,26.489578947368422,13.66554347826087,0.014130434782608696,40.48626373626374,1.0585263157894738,,3.222105263157895,2.394421052631579,73.55914893617022,2.0953191489361704,256.39,346.9903921568627,,28.457340425531914,0.0,80.54145833333332
2022-06-01,35567.5,90.99097222222223,171.41722222222222,24.201643835616437,53.722054794520545,77.92424657534247,30.389999999999997,16.2727397260274,0.7958333333333333,32.74791666666667,2.1124657534246576,,3.074109589041096,5.803424657534246,76.18698630136986,1.2246575342465755,191.71890410958903,229.35,,23.423698630136986,0.0,160.97951388888887
2022-06-02,38543.5,,,,,,,,,,,,,,,,,,,,0.0,0.0
2022-06-03,41231.5,86.6298947368421,222.73627659574467,52.36063157894737,82.5198947368421,134.88042105263156,20.763473684210528,11.521397849462366,1.1067741935483872,95.69684782608697,3.325578947368421,,5.537684210526316,11.548315789473683,48.43882978723404,1.4704255319148936,155.87063829787235,325.4917021276596,,27.457234042553193,0.0,231.76437507307637
2022-06-04,44207.5,,,,,,,,,,,,,,,,,,,,0.0,0.0
2022-06-05,47087.5,41.076770833333335,136.42563829787235,66.44446808510638,7.1255319148936165,73.57212765957446,22.088723404255322,9.259462365591398,0.08217391304347826,40.31663043478261,0.764468085106383,,2.1093617021276594,1.7170212765957447,75.97691489361702,1.9532978723404257,233.79702127659573,362.0522,,28.199680851063828,0.0,121.10041666666666
